000 COC(=O)O
06A C[C@H](C(=O)N1CC2(C1)CC(C2)F)NC3=Nc4c(cnn4C5CCCC5)C(=O)N3
06B COc1ccc(c(c1C(=O)O)OC)Br
06C CI
06D CCC(=O)N1CCC[C@H]1c2ccc(cc2)OC
06E c1c(cnc2c1sc3c2N=C(NC3=O)CNCCCCCC(=O)O)Br
06F Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3cccc(c3)Nc4ccc5c(c4)CCCCC5=O
06H Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H](C(=O)N(CCC2)C)C)C(=O)N
06I Cc1c(ncs1)COc2cc(cc(c2)Cl)C3=CC(=CN(C3=O)c4cccnc4)C5=CNC(=O)NC5=O
06J Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC[C@H]5CCCN5CCC2)C(=O)N
06K c1[nH]c2c(n1)nc(nc2Cl)Cl
06M CS(=N)(=O)C1(CC1)c2cc(nc(n2)c3ccnc4c3cc[nH]4)C5=CN(C(=O)c6c5cc[nH]6)CCC=C
06N CCCNc1nn2c(cnc2s1)c3ccc(cc3)O
06O CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@H]1OC(=O)CCCCCCCCCCCCCCC)O)O)O)O)OC(=O)CCCCCCC/C=C\C=C/CCCCCC
06P C[n+]1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N
06R c1ccc2c(c1)C(=O)NC(=N2)c3ccc(cc3)C(F)(F)F
06S c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O[C@@H]4[C@H](O[C@H]([C@@H]4O)N5C=CC(=O)NC5=O)COP(=O)(O)S)S)OP(=O)(O)S)O)NC(=NC2=O)N
06T Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H]([C@@H](CN(CC2)C(=O)[C@H](C)N)C)C)C(=O)N
06U CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)c3ccncc3
06V CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)N3CCOCC3
06W CCc1c(c(nc(n1)N)N)C#C[C@@H](C)c2cc(cc(c2)OC)c3ccncc3
06X CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN
06Y c1ccc(cc1)OCC(=O)O
