,macss_per_screen,maccs_per_actives,morgan_per_screen,morgan_per_actives
676,0.1496132596685082,0.2105675146771037,0.1496132596685082,0.2148727984344422
677,0.1498342541436464,0.2105675146771037,0.1498342541436464,0.2152641878669275
678,0.1500552486187845,0.210958904109589,0.1500552486187845,0.2156555772994129
679,0.1502762430939226,0.2113502935420743,0.1502762430939226,0.2160469667318982
680,0.1504972375690607,0.2117416829745597,0.1504972375690607,0.2164383561643835
681,0.1507182320441989,0.212133072407045,0.1507182320441989,0.2168297455968688
682,0.150939226519337,0.2125244618395303,0.150939226519337,0.2172211350293542
683,0.1511602209944751,0.2125244618395303,0.1511602209944751,0.2176125244618395
684,0.1513812154696132,0.2125244618395303,0.1513812154696132,0.2180039138943248
685,0.1516022099447513,0.2129158512720156,0.1516022099447513,0.2183953033268101
686,0.1518232044198895,0.2133072407045009,0.1518232044198895,0.2187866927592955
687,0.1520441988950276,0.2136986301369863,0.1520441988950276,0.2191780821917808
688,0.1522651933701657,0.2140900195694716,0.1522651933701657,0.2195694716242661
689,0.1524861878453038,0.2144814090019569,0.1524861878453038,0.2199608610567514
690,0.1527071823204419,0.2148727984344422,0.1527071823204419,0.2203522504892368
691,0.1529281767955801,0.2152641878669275,0.1529281767955801,0.2203522504892368
692,0.1531491712707182,0.2156555772994129,0.1531491712707182,0.2203522504892368
693,0.1533701657458563,0.2156555772994129,0.1533701657458563,0.2203522504892368
694,0.1535911602209944,0.2160469667318982,0.1535911602209944,0.2207436399217221
695,0.1538121546961326,0.2164383561643835,0.1538121546961326,0.2211350293542074
696,0.1540331491712707,0.2168297455968688,0.1540331491712707,0.2215264187866927
697,0.1542541436464088,0.2168297455968688,0.1542541436464088,0.2219178082191781
698,0.1544751381215469,0.2172211350293542,0.1544751381215469,0.2219178082191781
699,0.154696132596685,0.2172211350293542,0.154696132596685,0.2223091976516634
700,0.1549171270718232,0.2172211350293542,0.1549171270718232,0.2223091976516634
701,0.1551381215469613,0.2172211350293542,0.1551381215469613,0.2227005870841487
702,0.1553591160220994,0.2172211350293542,0.1553591160220994,0.223091976516634
703,0.1555801104972375,0.2172211350293542,0.1555801104972375,0.2234833659491193
704,0.1558011049723757,0.2176125244618395,0.1558011049723757,0.2238747553816047
705,0.1560220994475138,0.2180039138943248,0.1560220994475138,0.22426614481409
706,0.1562430939226519,0.2183953033268101,0.1562430939226519,0.2246575342465753
707,0.15646408839779,0.2187866927592955,0.15646408839779,0.2250489236790606
708,0.1566850828729281,0.2191780821917808,0.1566850828729281,0.225440313111546
709,0.1569060773480663,0.2195694716242661,0.1569060773480663,0.2258317025440313
710,0.1571270718232044,0.2199608610567514,0.1571270718232044,0.2258317025440313
711,0.1573480662983425,0.2203522504892368,0.1573480662983425,0.2262230919765166
712,0.1575690607734806,0.2207436399217221,0.1575690607734806,0.2262230919765166
713,0.1577900552486187,0.2211350293542074,0.1577900552486187,0.2262230919765166
714,0.1580110497237569,0.2215264187866927,0.1580110497237569,0.2262230919765166
715,0.158232044198895,0.2219178082191781,0.158232044198895,0.2262230919765166
716,0.1584530386740331,0.2223091976516634,0.1584530386740331,0.2262230919765166
717,0.1586740331491712,0.2227005870841487,0.1586740331491712,0.2262230919765166
718,0.1588950276243094,0.223091976516634,0.1588950276243094,0.2266144814090019
719,0.1591160220994475,0.223091976516634,0.1591160220994475,0.2270058708414872
720,0.1593370165745856,0.2234833659491193,0.1593370165745856,0.2273972602739726
721,0.1595580110497237,0.2234833659491193,0.1595580110497237,0.2277886497064579
722,0.1597790055248618,0.2238747553816047,0.1597790055248618,0.2277886497064579
723,0.16,0.2238747553816047,0.16,0.2277886497064579
724,0.1602209944751381,0.22426614481409,0.1602209944751381,0.2277886497064579
725,0.1604419889502762,0.2246575342465753,0.1604419889502762,0.2281800391389432
726,0.1606629834254143,0.2250489236790606,0.1606629834254143,0.2281800391389432
727,0.1608839779005524,0.225440313111546,0.1608839779005524,0.2285714285714285
728,0.1611049723756906,0.2258317025440313,0.1611049723756906,0.2289628180039138
729,0.1613259668508287,0.2262230919765166,0.1613259668508287,0.2293542074363992
730,0.1615469613259668,0.2262230919765166,0.1615469613259668,0.2293542074363992
731,0.1617679558011049,0.2266144814090019,0.1617679558011049,0.2293542074363992
732,0.1619889502762431,0.2270058708414872,0.1619889502762431,0.2297455968688845
733,0.1622099447513812,0.2273972602739726,0.1622099447513812,0.2301369863013698
734,0.1624309392265193,0.2277886497064579,0.1624309392265193,0.2305283757338551
735,0.1626519337016574,0.2277886497064579,0.1626519337016574,0.2305283757338551
736,0.1628729281767955,0.2281800391389432,0.1628729281767955,0.2309197651663405
737,0.1630939226519337,0.2281800391389432,0.1630939226519337,0.2313111545988258
738,0.1633149171270718,0.2285714285714285,0.1633149171270718,0.2317025440313111
739,0.1635359116022099,0.2285714285714285,0.1635359116022099,0.2317025440313111
740,0.163756906077348,0.2289628180039138,0.163756906077348,0.2320939334637964
741,0.1639779005524861,0.2293542074363992,0.1639779005524861,0.2324853228962818
742,0.1641988950276243,0.2293542074363992,0.1641988950276243,0.2328767123287671
743,0.1644198895027624,0.2293542074363992,0.1644198895027624,0.2332681017612524
744,0.1646408839779005,0.2293542074363992,0.1646408839779005,0.2336594911937377
745,0.1648618784530386,0.2297455968688845,0.1648618784530386,0.2340508806262231
746,0.1650828729281768,0.2301369863013698,0.1650828729281768,0.2344422700587084
747,0.1653038674033149,0.2305283757338551,0.1653038674033149,0.2344422700587084
748,0.165524861878453,0.2309197651663405,0.165524861878453,0.2344422700587084
749,0.1657458563535911,0.2313111545988258,0.1657458563535911,0.2348336594911937
750,0.1659668508287292,0.2317025440313111,0.1659668508287292,0.235225048923679
751,0.1661878453038674,0.2320939334637964,0.1661878453038674,0.235225048923679
752,0.1664088397790055,0.2324853228962818,0.1664088397790055,0.2356164383561644
753,0.1666298342541436,0.2328767123287671,0.1666298342541436,0.2360078277886497
754,0.1668508287292817,0.2332681017612524,0.1668508287292817,0.236399217221135
755,0.1670718232044198,0.2336594911937377,0.1670718232044198,0.2367906066536203
756,0.167292817679558,0.2336594911937377,0.167292817679558,0.2371819960861056
757,0.1675138121546961,0.2340508806262231,0.1675138121546961,0.237573385518591
758,0.1677348066298342,0.2344422700587084,0.1677348066298342,0.237573385518591
759,0.1679558011049723,0.2348336594911937,0.1679558011049723,0.2379647749510763
760,0.1681767955801105,0.2348336594911937,0.1681767955801105,0.2383561643835616
761,0.1683977900552486,0.235225048923679,0.1683977900552486,0.2383561643835616
762,0.1686187845303867,0.2356164383561644,0.1686187845303867,0.2387475538160469
763,0.1688397790055248,0.2356164383561644,0.1688397790055248,0.2391389432485323
764,0.1690607734806629,0.2360078277886497,0.1690607734806629,0.2391389432485323
765,0.1692817679558011,0.236399217221135,0.1692817679558011,0.2395303326810176
766,0.1695027624309392,0.2367906066536203,0.1695027624309392,0.2399217221135029
767,0.1697237569060773,0.2367906066536203,0.1697237569060773,0.2403131115459882
768,0.1699447513812154,0.2371819960861056,0.1699447513812154,0.2403131115459882
769,0.1701657458563535,0.237573385518591,0.1701657458563535,0.2403131115459882
770,0.1703867403314917,0.2379647749510763,0.1703867403314917,0.2407045009784735
771,0.1706077348066298,0.2379647749510763,0.1706077348066298,0.2410958904109589
772,0.1708287292817679,0.2383561643835616,0.1708287292817679,0.2414872798434442
773,0.171049723756906,0.2387475538160469,0.171049723756906,0.2418786692759295
774,0.1712707182320442,0.2391389432485323,0.1712707182320442,0.2418786692759295
775,0.1714917127071823,0.2395303326810176,0.1714917127071823,0.2422700587084148
776,0.1717127071823204,0.2399217221135029,0.1717127071823204,0.2426614481409001
777,0.1719337016574585,0.2403131115459882,0.1719337016574585,0.2426614481409001
778,0.1721546961325966,0.2407045009784735,0.1721546961325966,0.2430528375733855
779,0.1723756906077348,0.2410958904109589,0.1723756906077348,0.2434442270058708
780,0.1725966850828729,0.2414872798434442,0.1725966850828729,0.2434442270058708
781,0.172817679558011,0.2418786692759295,0.172817679558011,0.2438356164383561
782,0.1730386740331491,0.2422700587084148,0.1730386740331491,0.2438356164383561
783,0.1732596685082872,0.2426614481409001,0.1732596685082872,0.2442270058708414
784,0.1734806629834254,0.2430528375733855,0.1734806629834254,0.2446183953033268
785,0.1737016574585635,0.2434442270058708,0.1737016574585635,0.2450097847358121
786,0.1739226519337016,0.2438356164383561,0.1739226519337016,0.2450097847358121
787,0.1741436464088397,0.2442270058708414,0.1741436464088397,0.2454011741682974
